,Emissions_AVG,Top Fifty Polluters Supply_AVG,Average Polluters Supply_AVG,Top Fifty Efficient Supply_AVG
0,1002944,500000,500000,500000
50,987289,311329,583424,586741
100,968913,188385,683185,687056
150,951591,113996,710500,795501
200,941219,69002,454807,918842
250,929920,41697,275094,1056003
300,917116,25315,166440,1199057
350,909460,15379,100696,1373939
400,899516,9386,60947,1544804
450,893402,5893,36903,1735987
500,884095,3393,22337,1935492
550,876014,0,13587,2140395
600,871988,0,8272,2388589
650,864322,0,5231,2635789
700,858997,0,1840,2891343
750,855786,0,0,3186642
800,847480,0,0,3464641
850,842319,0,0,3777580
900,838557,0,0,4126521
950,837707,0,0,4510731
1000,829373,0,0,4861508
1050,831287,0,0,5293598
1100,828416,0,0,5709246
1150,820380,0,0,6059851
1200,819869,0,0,6482019
1250,813576,0,0,6926610
1300,809674,0,0,7385336
1350,807248,0,0,7804028
1400,803702,0,0,8304477
1450,802062,0,0,8679810
1500,802792,0,0,9060182
1550,797697,0,0,9373417
1600,800033,0,0,9650932
1650,797319,0,0,9781454
1700,795542,0,0,9865120
1750,794136,0,0,9940044
1800,789208,0,0,9949428
1850,787566,0,0,9979038
1900,785524,0,0,9996353
1950,786098,0,0,10038424
2000,786057,0,0,10055595
2050,781559,0,0,10019920
2100,777481,0,0,9985082
2150,778424,0,0,10023947
2200,776943,0,0,10018935
2250,779817,0,0,10055217
2300,778932,0,0,10063173
2350,777674,0,0,10066582
2400,774967,0,0,10048209
