,Emissions_CT26,Top Fifty Polluters Supply_CT26,Average Polluters Supply_CT26,Top Fifty Efficient Supply_CT26
0,1000440,500000,500000,500000
50,999871,498552,498552,526899
100,1000167,497302,497302,564243
150,1001426,496025,496025,616223
200,1004290,494800,494800,688038
250,988935,483968,483776,769118
300,994937,482546,482546,884270
350,985627,472601,472780,1019268
400,979080,462702,462864,1193180
450,976242,452752,452902,1421273
500,959700,433758,434083,1694921
550,950335,415512,416184,2047687
600,949214,398465,398949,2489816
650,924640,366813,367261,2987607
700,913553,337806,338215,3603471
750,888445,298752,299237,4290649
800,867754,259142,259556,5065667
850,856417,220514,220859,5941127
900,831384,176634,176776,6776302
950,809840,135693,133639,7598642
1000,789429,98250,96610,8290848
1050,770034,67683,64224,8849066
1100,759597,45300,42816,9263194
1150,749797,28879,27065,9536317
1200,743964,17833,16611,9725968
1250,743888,11134,10355,9887694
1300,742430,6777,6384,9970504
1350,738008,4277,3884,9976858
1400,736441,0,0,10054977
1450,736717,0,0,10059373
1500,736013,0,0,10050239
1550,735555,0,0,10044991
1600,735122,0,0,10039149
1650,735118,0,0,10039045
1700,736505,0,0,10058695
1750,735918,0,0,10050520
1800,736118,0,0,10054129
1850,736345,0,0,10057671
1900,737074,0,0,10067192
1950,736179,0,0,10055230
2000,737021,0,0,10066478
2050,738240,0,0,10083029
2100,738226,0,0,10082786
2150,737908,0,0,10078582
2200,737203,0,0,10069153
2250,737701,0,0,10075930
2300,737466,0,0,10072662
2350,737238,0,0,10069703
2400,736999,0,0,10066532
