,Emissions_DP5,Top Fifty Polluters Supply_DP5,Average Polluters Supply_DP5,Top Fifty Efficient Supply_DP5
0,1001727,500000,500000,500000
50,999403,443846,514096,524296
100,994266,348802,536162,549421
150,987150,265271,556800,569719
200,983650,193458,577722,593380
250,977153,133586,597764,613940
300,971459,95718,617617,635333
350,968520,65790,638445,657762
400,963054,46190,655537,674258
450,960105,30214,673959,693980
500,957301,18399,692447,712064
550,956174,10817,709655,732426
600,951207,5794,721522,750193
650,948485,3319,736316,767920
700,946766,1871,752616,785565
750,946054,993,767231,802932
800,941014,669,776448,817612
850,942926,440,790917,835542
900,939975,185,799293,849255
950,937501,75,804960,864001
1000,935399,0,813284,876974
1050,934379,0,819054,891697
1100,933514,0,820635,907125
1150,929439,0,822629,918722
1200,931118,0,828005,933958
1250,927735,0,818470,945241
1300,929348,0,796780,960988
1350,926707,0,752109,972892
1400,924897,0,690005,984177
1450,923438,0,623076,994971
1500,922487,0,554013,1005493
1550,922271,0,494844,1015337
1600,922019,0,426535,1028207
1650,922357,0,363931,1038988
1700,923127,0,313751,1050023
1750,918707,0,261992,1055743
1800,920076,0,218883,1066793
1850,921549,0,178231,1077662
1900,918428,0,148845,1083964
1950,915538,0,122203,1090051
2000,918131,0,107557,1101485
2050,916030,0,94402,1107006
2100,914117,0,81510,1113656
2150,917390,0,55371,1126823
2200,915502,0,36855,1133847
2250,914293,0,25587,1140526
2300,913453,0,18974,1147210
2350,912766,0,14488,1153656
2400,912262,0,12019,1159500
