,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,995724,10000000,60388,40169,49703,500000,500000,500000,,
1,985770,9900000,59786,39767,49205,495000,495000,495000,,
2,985488,9897129,60196,39767,49205,498366,495000,495000,,
3,994161,9986100,59918,40166,49695,496150,499950,499950,,
4,1001918,10066685,60190,40567,50193,498316,504950,504950,,
5,1000750,10056721,59591,40567,50193,493332,504950,504950,,
6,999314,10044363,58992,40567,50193,488398,504950,504950,,
7,997853,10031818,58403,40567,50193,483514,504950,504950,,
8,996440,10019616,57816,40567,50193,478680,504950,504950,,
9,995050,10007732,57237,40567,50193,473896,504950,504950,,
10,993650,9995683,56668,40567,50193,469162,504950,504950,,
11,1002913,10089787,57231,40976,50694,473846,510000,510000,,
12,1001604,10078508,56663,40976,50704,469112,510000,510102,,
13,1000375,10067945,56099,40976,50694,464428,510000,509999,,
14,999046,10056577,55536,40976,50694,459794,510000,509999,,
15,997693,10044943,54983,40976,50694,455210,510000,509999,,
16,996397,10033766,54435,40976,50694,450668,510000,509999,,
17,995117,10022838,53914,40976,50684,446356,510000,509897,,
18,993830,10011792,53371,40976,50694,441871,510000,509998,,
19,992549,10000768,52835,40976,50694,437436,510000,509998,,
20,991252,9989677,52305,40976,50694,433050,510000,509998,,
21,1000709,10085403,52829,41381,51201,437386,515100,515098,,
22,999568,10075751,52301,41381,51201,433000,515100,515098,,
23,998399,10065699,51777,41381,51191,428664,515100,514995,,
24,997101,10054534,51259,41389,51201,424378,515203,515097,,
25,995892,10044119,50747,41381,51201,420142,515099,515097,,
26,994779,10034621,50241,41381,51191,415948,515099,514994,,
27,993549,10024009,49738,41373,51201,411804,514996,515096,,
28,992418,10014241,49264,41381,51201,407835,515098,515096,,
29,991196,10003801,48769,41381,51201,403749,515098,515096,,
30,990029,9993792,48280,41381,51201,399711,515098,515096,,
31,999562,10090310,48764,41796,51713,403707,520248,520246,,
32,998372,10080146,48273,41796,51713,399669,520248,520246,,
33,997319,10071170,47791,41796,51703,395673,520248,520142,,
34,996094,10060537,47315,41796,51702,391727,520248,520141,,
35,995126,10052299,46841,41796,51712,387791,520248,520244,,
36,993896,10041739,46370,41796,51712,383905,520248,520244,,
37,992892,10033058,45909,41796,51712,380067,520248,520244,,
38,991752,10023342,45450,41796,51712,376271,520248,520244,,
39,990739,10014687,44994,41796,51712,372525,520248,520244,,
40,989563,10004541,44544,41796,51712,368789,520248,520244,,
41,988587,9996167,44099,41796,51712,365103,520248,520244,,
42,997839,10090425,44436,42215,52231,367873,525448,525444,,
43,996723,10080840,43992,42215,52231,364199,525448,525444,,
44,995720,10072283,43550,42215,52231,360559,525448,525444,,
45,994623,10062842,43136,42215,52221,357113,525448,525339,,
46,993689,10054796,42704,42215,52231,353538,525448,525443,,
47,992587,10045349,42279,42223,52220,349999,525553,525338,,
48,991619,10037039,41855,42215,52220,346507,525447,525337,,
49,990656,10028714,41436,42215,52231,343032,525447,525441,,
50,989635,10019935,41021,42215,52231,339593,525447,525441,,
