,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
0,1001727,10000000,60534,40154,50088,500000,500000,500000,2.031766134532541,,,
1,1000720,9990100,60451,40112,50068,499300,499500,499800,9.531734414862798,,,
2,1004745,10030443,60654,40320,50349,500997,501997,502598,14.605639632077358,,,
3,1003783,10021231,60571,40327,50299,500305,502095,502100,17.300383570211864,,,
4,1002780,10011723,60476,40327,50251,499522,502095,501607,19.2034869981572,,,
5,1001792,10002207,60385,40327,50202,498747,502095,501119,20.47229194872938,,,
6,1000812,9992988,60293,40327,50153,497980,502095,500636,25.44659107762627,,,
7,1004764,10033295,60432,40537,50327,499131,504708,502369,31.62389527791661,,,
8,1003714,10023284,60319,40537,50281,498179,504708,501896,29.76640276684867,,,
9,1002703,10013848,60182,40537,50233,497037,504708,501428,28.298578298912727,,,
10,1001711,10004500,60069,40537,50187,496107,504708,500965,27.100210682186816,,,
11,1000740,9995437,59959,40537,50140,495189,504708,500507,26.624812823170316,,,
12,1006817,10055782,60345,40718,50460,498419,506931,503688,33.61249479121829,,,
13,1005717,10045456,60196,40718,50413,497197,506931,503230,31.03593721870374,,,
14,1004695,10036114,60018,40718,50368,495681,506931,502777,29.01327421786948,,,
15,1003691,10026945,59837,40718,50323,494176,506931,502326,27.471313977219438,,,
16,1002700,10017937,59658,40718,50278,492686,506931,501879,26.261258104724323,,,
17,1001712,10008917,59481,40718,50234,491212,506931,501436,25.32491884356091,,,
18,1000738,10000084,59304,40718,50189,489754,506931,500998,29.01650365140449,,,
19,999721,9990885,59130,40718,50145,488312,506931,500565,33.588479515911175,,,
20,1003867,10033659,59181,40927,50369,488710,509567,502780,38.551698013313356,,,
21,1002820,10024110,58998,40927,50326,487196,509567,502357,34.57753657618711,,,
22,1001827,10015167,58816,40927,50284,485695,509567,501939,31.555088706650135,,,
23,1000854,10006331,58612,40927,50242,484002,509567,501523,29.20677546718567,,,
24,999881,9997586,58411,40927,50200,482327,509567,501111,30.03450540291557,,,
25,1003799,10038129,58451,41123,50416,482607,512020,503258,36.31164563810509,,,
26,1002753,10028567,58253,41123,50376,480967,512020,502855,32.84817731303414,,,
27,1001766,10019763,58053,41123,50336,479342,512020,502457,30.165917522164705,,,
28,1000792,10010887,57865,41123,50328,477731,512020,502379,28.14614950816248,,,
29,999801,10002075,57683,41123,50336,476239,512020,502457,26.616690638200367,,,
30,998841,9993340,57496,41123,50351,474662,512020,502613,28.317426400773808,,,
31,1002766,10034301,57456,41354,50652,474339,514881,505627,34.139458718551,,,
32,1001731,10024905,57259,41354,50627,472694,514881,505387,31.12715042989069,,,
33,1000748,10016042,57074,41354,50619,471166,514881,505310,28.841352127230852,,,
34,999773,10007299,56867,41354,50635,469445,514881,505466,27.12156740176592,,,
35,998818,9998709,56662,41354,50635,467740,514881,505466,28.111890627931366,,,
36,1002983,10042161,56634,41632,50895,467502,518374,508061,34.03306240986494,,,
37,1001923,10032628,56431,41632,50862,465832,518374,507738,31.019449213815818,,,
38,1000939,10023826,56221,41632,50894,464076,518374,508058,28.707483846295013,,,
39,999967,10015152,55997,41632,50894,462232,518374,508058,26.962494907193168,,,
40,998995,10006507,55777,41632,50894,460403,518374,508058,25.63972832325202,,,
41,998045,9998030,55556,41632,50894,458596,518374,508058,27.506828474214647,,,
42,1002166,10040995,55560,41889,51193,458577,521582,511058,33.154245098111154,,,
43,1001119,10031714,55345,41889,51185,456805,521582,510979,30.296863598864263,,,
44,1000150,10023062,55132,41889,51193,455052,521582,511057,28.11854212730069,,,
45,999167,10014334,54884,41889,51193,452996,521582,511057,26.43619000223029,,,
46,998220,10005894,54653,41889,51193,451063,521582,511057,25.16516025315201,,,
47,997270,9997421,54421,41889,51193,449152,521582,511057,29.164277116786167,,,
48,1001404,10040569,54333,42108,51498,448403,524296,514096,34.17832167550502,,,
49,1000373,10031402,54056,42108,51498,446112,524296,514096,30.988153021334647,,,
50,999403,10022814,53783,42108,51498,443846,524296,514096,28.570345535231755,,,
51,998445,10014316,53514,42108,51498,441605,524296,514096,26.729109199639822,,,
52,997490,10005888,53257,42108,51498,439490,524296,514096,25.34558384980787,,,
53,996569,9997664,53009,42108,51498,437402,524296,514096,28.664766190545663,,,
54,1000621,10039991,52832,42350,51769,435957,527231,516785,33.83170686396729,,,
55,999604,10030938,52560,42350,51769,433696,527231,516785,30.70108029880503,,,
56,998656,10022537,52265,42350,51769,431247,527231,516785,28.31322350457949,,,
