,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
0,999963,10000000,59761,39275,50244,500000,500000,500000,2.200437182642411,,,
1,998953,9989900,59702,39244,50224,499500,499600,499800,7.215482318048631,,,
2,1003678,10038015,59951,39464,50504,501595,502396,502598,11.724497704572654,,,
3,1002744,10029375,59810,39464,50424,500401,502396,501800,16.282259437424642,,,
4,1001821,10020937,59666,39464,50395,499212,502396,501512,18.253543582760415,,,
5,1000826,10011798,59499,39464,50336,497838,502396,500930,19.254808364859674,,,
6,999841,10002846,59319,39464,50278,496379,502396,500354,20.002158905223702,,,
7,998858,9993886,59130,39464,50241,494837,502396,499974,24.120136441274045,,,
8,1002411,10030976,59062,39703,50519,494315,505413,502724,28.195359029796798,,,
9,1001359,10021400,58842,39703,50472,492500,505413,502259,26.645982791660902,,,
10,1000368,10012478,58599,39703,50482,490502,505413,502351,25.458057751782356,,,
11,999397,10003725,58348,39703,50500,488425,505413,502533,24.56522087374962,,,
12,998424,9994971,58097,39703,50500,486372,505413,502533,25.941534821879642,,,
13,1002365,10035630,58059,39873,50670,486147,507538,504235,29.78865792122693,,,
14,1001321,10026201,57767,39873,50670,483726,507538,504235,27.803419532745504,,,
15,1000320,10017368,57450,39873,50670,481125,507538,504235,26.301774581839037,,,
16,999347,10008701,57130,39873,50670,478447,507538,504235,25.169383328178824,,,
17,998384,10000132,56807,39873,50670,475797,507538,504235,25.60926183222082,,,
18,997382,9991284,56466,39873,50670,472972,507538,504235,25.753582679776535,,,
19,1003212,10048891,56853,40092,51021,476170,510378,507755,30.00820380351876,,,
20,1002134,10039327,56488,40092,51021,473142,510378,507755,27.888847393870197,,,
21,1001136,10030607,56087,40092,51021,469841,510378,507755,26.257147768918365,,,
22,1000147,10021925,55673,40092,51021,466373,510378,507755,25.008619806990048,,,
23,999156,10013254,55234,40092,51021,462730,510378,507755,24.054833153610833,,,
24,998189,10004819,54790,40092,51021,459020,510378,507755,23.32843391338674,,,
25,997232,9996477,54346,40092,51021,455349,510378,507755,25.007154835581876,,,
26,1000831,10034808,53919,40330,51319,451814,513438,510684,29.028044205478135,,,
27,999799,10025767,53457,40330,51319,447914,513438,510684,27.040356825606185,,,
28,998822,10017291,52967,40330,51319,443840,513438,510684,25.527233638622114,,,
29,997860,10008922,52475,40330,51319,439705,513438,510684,24.382879329333782,,,
30,996880,10000465,51974,40330,51319,435514,513438,510684,27.199285742140923,,,
31,995908,9992023,51478,40330,51319,431365,513438,510684,29.69888539388903,,,
32,1000091,10036221,50973,40573,51586,427156,516522,513356,33.78759999457736,,,
33,999055,10027210,50464,40573,51586,422880,516522,513356,30.56433404930024,,,
34,998099,10018893,49963,40573,51586,418651,516522,513356,28.11929140542984,,,
35,997134,10010609,49462,40573,51586,414468,516522,513356,26.271579236183065,,,
36,996178,10002380,48965,40573,51586,410329,516522,513356,24.865601525582896,,,
37,995230,9994213,48478,40573,51586,406222,516522,513356,25.494464585993253,,,
38,999679,10041158,47993,40807,51857,402161,519518,516024,29.58499026742648,,,
39,998651,10032308,47513,40807,51857,398145,519518,516024,27.29226692964475,,,
40,997678,10023960,47034,40807,51857,394165,519518,516024,25.57239593624821,,,
41,996738,10015844,46567,40807,51857,390223,519518,516024,24.25091857380778,,,
42,995787,10007710,46098,40807,51857,386322,519518,516024,23.225772822973283,,,
43,994862,9999682,45640,40807,51857,382454,519518,516024,23.552507155138837,,,
44,998931,10042837,45182,41058,52058,378629,522733,518083,27.58937467982824,,,
45,997897,10033938,44732,41058,52058,374846,522733,518083,25.7174234383107,,,
46,996932,10025625,44284,41058,52058,371092,522733,518083,24.28876785884507,,,
47,995999,10017566,43842,41058,52058,367378,522733,518083,23.2137470398198,,,
48,995066,10009553,43401,41058,52058,363706,522733,518083,22.403518221348655,,,
49,994129,10001485,42972,41058,52058,360067,522733,518083,25.11263552423415,,,
50,993169,9993231,42540,41058,52058,356465,522733,518083,27.46723062713037,,,
51,997003,10033949,42116,41277,52371,352903,525454,521197,31.458645459029093,,,
52,995999,10025322,41692,41277,52371,349373,525454,521197,28.581502449631586,,,
53,995060,10017227,41276,41277,52371,345879,525454,521197,26.409040453621934,,,
54,994130,10009284,40862,41277,52371,342425,525454,521197,24.76912973780681,,,
55,993197,10001173,40454,41277,52371,338999,525454,521197,28.6954167406748,,,
56,992251,9993050,40051,41277,52371,335612,525454,521197,32.626180519988225,,,
57,996033,10033215,39649,41500,52700,332256,528282,524442,36.5646341411107,,,
58,995050,10024716,39252,41500,52700,328934,528282,524442,32.409525532411585,,,
59,994115,10016617,38861,41500,52700,325639,528282,524442,29.26950974070654,,,
60,993176,10008530,38472,41500,52700,322383,528282,524442,26.915271941262773,,,
61,992252,10000532,38088,41500,52700,319160,528282,524442,25.15612736185688,,,
62,991340,9992675,37706,41500,52700,315966,528282,524442,28.909237371378445,,,
63,995123,10032959,37329,41714,52996,312808,531012,527392,32.924042445176,,,
64,994139,10024456,36954,41714,52996,309678,531012,527392,29.65505149429308,,,
65,993185,10016129,36589,41714,52996,306582,531012,527392,27.327138491297895,,,
66,992246,10008073,36218,41714,52996,303512,531012,527392,25.47967442596471,,,
67,991331,10000152,35858,41714,52996,300477,531012,527392,28.697513861310583,,,
68,990403,9992139,35498,41714,52996,297465,531012,527392,31.655097585836135,,,
69,994603,10036774,35141,42005,53250,294490,534724,529930,35.67616218464638,,,
70,993635,10028331,34791,42005,53250,291539,534724,529930,31.746302473106113,,,
71,992706,10020287,34442,42005,53250,288622,534724,529930,28.803182352211785,,,
72,991770,10012214,34096,42005,53250,285737,534724,529930,26.598149476023245,,,
73,990843,10004181,33756,42005,53250,282878,534724,529930,24.943636982639326,,,
74,989966,9996519,33419,42005,53250,280052,534724,529930,24.097241013226416,,,
75,995796,10055115,33754,42248,53625,282853,537827,533678,28.257010348506828,,,
76,994800,10046395,33417,42248,53625,280029,537827,533678,26.186013157063574,,,
77,993851,10038169,33081,42248,53625,277228,537827,533678,24.63996942662121,,,
78,992895,10029893,32753,42248,53625,274463,537827,533678,23.479464249453088,,,
79,991925,10021492,32425,42248,53625,271715,537827,533678,22.60916973807525,,,
80,991006,10013495,32099,42248,53625,268996,537827,533678,21.96019483910146,,,
81,990082,10005473,31777,42248,53625,266308,537827,533678,21.47658389756644,,,
82,989183,9997611,31465,42248,53625,263643,537827,533678,23.012229708760238,,,
83,993325,10041397,31145,42453,53913,261007,540402,536557,27.165179847804076,,,
84,992349,10032858,30836,42453,53913,258392,540402,536557,25.370125487356816,,,
85,991423,10024843,30526,42453,53913,255810,540402,536557,24.036435848497277,,,
86,990532,10017004,30227,42453,53913,253247,540402,536557,23.106961351124916,,,
87,989609,10009039,29918,42453,53913,250719,540402,536557,22.343433234648394,,,
88,988725,10001357,29621,42453,53913,248209,540402,536557,26.361325470395883,,,
89,987826,9993562,29324,42453,53913,245731,540402,536557,30.23242409800266,,,
90,991895,10036572,29030,42682,54216,243269,543321,539553,34.500975703520666,,,
91,990942,10028257,28738,42682,54216,240835,543321,539553,30.884757048398622,,,
92,990045,10020463,28450,42682,54216,238428,543321,539553,28.219560787173858,,,
93,989148,10012644,28167,42682,54216,236042,543321,539553,26.185956428781783,,,
94,988238,10004683,27888,42682,54216,233685,543321,539553,24.65596037714189,,,
95,987338,9996900,27608,42682,54216,231345,543321,539553,28.296209155391775,,,
96,990883,10034709,27331,42967,54424,229038,546900,541610,32.46857276509821,,,
97,989941,10026477,27059,42967,54424,226747,546900,541610,29.37141219762904,,,
98,989054,10018708,26787,42967,54424,224479,546900,541610,27.181917830097575,,,
99,988174,10011029,26518,42967,54424,222236,546900,541610,25.407953002521545,995489.14,10016452.71,26.098671149983776
100,987297,10003356,26254,42967,54424,220012,546900,541610,24.077383761261977,995362.48,10016486.27,26.317440615769968
101,986419,9995700,25994,42967,54424,217815,546900,541610,26.51393018512143,995237.14,10016544.27,26.5104250944407
102,990094,10034725,25729,43146,54670,215637,549209,544065,30.63216454065979,995101.3,10016511.37,26.69950176280157
103,989172,10026641,25477,43146,54670,213483,549209,544065,27.99642070279214,994965.58,10016484.03,26.816643375455243
104,988265,10018691,25222,43146,54670,211350,549209,544065,26.046741828947592,994830.02,10016461.57,26.894575357917116
105,987379,10010959,24969,43146,54670,209240,549209,544065,24.563206505758952,994695.55,10016453.18,26.947659339326105
106,986499,10003271,24718,43146,54670,207144,549209,544065,23.450276500940838,994562.13,10016457.43,26.982140515283277
107,985626,9995609,24472,43146,54670,205075,549209,544065,25.78326838644631,994429.81,10016474.66,26.998771834735
108,989480,10036601,24228,43346,54885,203022,551757,546205,29.931238549588997,994300.5,10016530.91,27.016130629932924
109,988566,10028542,23987,43346,54885,200987,551757,546205,27.47965142758313,994172.57,10016602.33,27.024467316292142
110,987701,10020979,23746,43346,54885,198978,551757,546205,25.694294222110987,994045.9,10016687.34,27.02682968099543
111,986835,10013406,23510,43346,54885,196985,551757,546205,24.309745056827143,993920.28,10016784.15,27.0242749228262
112,985983,10006028,23268,43346,54885,195017,551757,546205,23.26752006022599,993795.87,10016894.72,26.99753477520967
113,985135,9998522,23043,43346,54885,193066,551757,546205,24.232235781112934,993623.57,10016523.64,26.94197055380853
114,989495,10044695,22810,43648,55267,191138,555522,550021,28.365493443598584,993505.31,10016708.58,26.947591292917064
115,988567,10036468,22581,43648,55267,189229,555522,550021,26.307764942512023,993387.78,10016899.58,26.947651196523793
116,987671,10028704,22354,43648,55267,187339,555522,550021,24.82211001393796,993271.02,10017099.61,26.944178463381387
117,986785,10020913,22131,43648,55267,185465,555522,550021,23.662635142032418,993155.03,10017307.42,26.9247121964795
118,985918,10013233,21914,43648,55267,183614,555522,550021,22.79772510860418,993040.39,10017526.91,26.895153620767772
119,985038,10005499,21693,43648,55267,181781,555522,550021,22.145871686124416,992858.65,10017092.99,26.81653029959383
120,984190,9998068,21475,43648,55267,179962,555522,550021,25.49423882132654,992679.21,10016680.4,26.792584213868395
121,988093,10039520,21261,43834,55656,178169,557960,553877,29.56199235913238,992548.78,10016769.53,26.825632659770534
122,987182,10031479,21054,43834,55656,176391,557960,553877,27.218785362094923,992419.13,10016865.07,26.847734315321585
123,986312,10023827,20838,43834,55656,174626,557960,553877,25.465117828155556,992290.69,10016970.8,26.861837162067037
124,985429,10016029,20632,43834,55656,172877,557960,553877,24.150183114392952,992163.09,10017082.9,26.870054654077098
