,Emissions,Supply,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Clearing Price Double Auction,Emissions Rolling,Supply Rolling,Clearing Price Rolling,Clearing Price Double Auction Rolling
0,1002944,10000000,500000,500000,500000,6.375707672514417,12.922835076756753,,,,
1,1001937,9991100,498100,500000,500000,12.364656942282561,16.166576859456544,,,,
2,1009950,10073629,497299,505000,505000,14.754222381122462,16.36466808984837,,,,
3,1009700,10071427,496678,505000,505000,16.99479181286848,18.715237752911698,,,,
4,1009228,10067370,494291,505000,505000,18.007610035198546,19.822129613137378,,,,
5,1007214,10049732,489348,505000,505000,18.780330247280908,20.719634940019475,,,,
6,1004700,10027712,484455,505000,505000,19.37572387593687,20.719634940019475,,,,
7,1001818,10002127,479612,505000,505000,20.945380244346538,20.719634940019475,,,,
8,998739,9974822,474819,505000,505000,27.2354426411772,20.719634940019475,,,,
9,1002644,10020316,470076,510050,510050,33.44257262563575,44.35828193605492,,,,
10,999640,9993475,465383,510050,510050,30.319538798672873,44.35828193605492,,,,
11,1003496,10038372,460740,514742,514742,36.70912022950216,42.126529675236384,,,,
12,1000475,10011140,456140,514540,514540,32.77191953720599,42.126529675236384,,,,
13,997696,9986525,451590,514540,514431,31.167893141276586,42.126529675236384,,,,
14,1001620,10031845,447088,519684,518962,37.62925356545543,49.167508783493105,,,,
15,998595,10004648,442608,519684,518659,33.47721655600112,49.167508783493105,,,,
16,995785,9979689,438168,519580,518647,37.35277935165589,45.03376251272085,,,,
17,999708,10025216,433775,524567,523213,44.26597058020257,56.819835991580504,,,,
18,996685,9997940,429432,524465,522907,38.775521672726484,56.819835991580504,,,,
19,1000598,10043433,425139,529705,527518,45.80709845942677,54.73944383727047,,,,
20,997565,10016178,420889,529705,527214,39.60532384457008,54.73944383727047,,,,
21,994785,9991409,416689,529601,527204,37.049307389204195,54.73944383727047,,,,
22,998721,10036917,412537,534684,531854,43.92938799084611,56.425465352329354,,,,
23,995729,10009838,408407,534582,531549,38.248080690677114,56.425465352329354,,,,
24,992964,9985198,404317,534469,531744,40.87850484890178,46.86806632868386,,,,
25,996916,10031013,400267,539380,536841,48.11040447502471,61.185815667320064,,,,
26,993919,10003906,396267,539170,536736,41.50909443608074,61.185815667320064,,,,
27,991090,9978503,392315,539270,536840,38.97839367242186,61.185815667320064,,,,
28,995028,10024524,388385,544436,542197,46.08797608484355,58.95576427270876,,,,
29,992065,9997863,384495,544330,542197,39.84218186774628,58.95576427270876,,,,
30,995998,10043470,380645,549103,546956,46.97456850379622,59.956520100307394,,,,
31,993043,10016457,376845,548779,546635,40.573379208035846,59.956520100307394,,,,
32,990292,9991832,373093,549100,546953,37.016260002556166,59.956520100307394,,,,
33,994262,10037880,369356,554571,552404,43.97703778954694,51.33410324687357,,,,
34,991328,10011235,365659,554571,552404,38.28369577335287,51.33410324687357,,,,
35,988590,9986584,362009,554459,552404,35.02058272415648,51.33410324687357,,,,
36,992585,10033113,358407,560019,557942,41.81667075032442,54.021295107027825,,,,
37,989661,10006528,354820,560019,557942,36.714962079136754,54.021295107027825,,,,
38,986940,9981929,351273,559912,557716,41.16829108547515,49.9066991492565,,,,
39,990964,10028640,347771,565310,562854,48.42073852342004,61.624761273920804,,,,
40,988027,10001860,344284,565205,562634,41.86999122101883,61.624761273920804,,,,
41,985237,9976677,340837,565309,562520,42.362081936594144,61.624761273920804,,,,
42,989280,10023425,337435,570970,567710,49.72912615045185,63.199662923214916,,,,
43,986386,9997026,334048,570970,567491,42.6306396266893,63.199662923214916,,,,
44,990388,10043591,330701,576453,572940,49.993500010229425,63.49702425299667,,,,
45,987470,10016884,327399,576339,572826,42.8668855081189,63.49702425299667,,,,
46,984763,9992417,324112,575988,572715,39.220485282805676,63.49702425299667,,,,
47,988790,10039097,320865,581058,577997,46.35783597858644,59.33913035707359,,,,
48,985872,10012491,317663,580716,577777,40.12083600033327,59.33913035707359,,,,
49,983237,9988476,314476,580938,577880,37.359510878491214,59.33913035707359,,,,
50,987289,10035367,311329,586741,583424,44.35104173567048,56.981144427971174,,,,
51,984409,10008933,308227,586741,583311,38.61178181881594,56.981144427971174,,,,
52,981788,9985183,305140,586626,583423,45.674056414129154,56.981144427971174,,,,
53,985847,10032068,302093,592250,589245,53.26520350574725,62.96600734110851,,,,
54,982994,10005815,299084,592137,589245,45.31507363302791,62.96600734110851,,,,
55,980312,9981586,296097,592008,589245,52.915322025685406,62.96600734110851,,,,
56,984409,10029050,293141,597466,595150,61.05754043227057,71.75081172138698,,,,
57,981550,10002926,290204,597232,595150,51.15839695989066,71.75081172138698,,,,
58,978900,9978761,287305,597464,595150,59.132092286631625,71.75081172138698,,,,
59,983005,10026196,284418,603443,601105,67.72079603314077,79.37726029989918,,,,
60,980176,10000137,281571,603443,601105,56.1643215146515,79.37726029989918,,,,
61,977539,9976042,278762,603325,601105,54.97292194566542,79.37726029989918,,,,
62,981628,10023379,275975,609124,607116,63.263117679952856,78.81802230103233,,,,
63,978813,9997462,273219,609008,607116,52.87555608174682,78.81802230103233,,,,
64,982901,10044947,270482,615093,611952,61.043606043024226,76.26304982751091,,,,
65,980055,10018737,267776,615093,611342,51.17600997159872,76.26304982751091,,,,
66,977450,9994911,265089,615093,611947,44.88676033041006,76.26304982751091,,,,
67,981565,10042467,262433,621231,618055,52.459349003261295,60.01228615431738,,,,
68,978739,10016422,259796,621231,618055,44.72822325973932,60.01228615431738,,,,
69,976140,9992482,257197,620979,617680,40.68251876113217,60.01228615431738,,,,
70,980265,10040145,254610,626699,623122,47.95405396220602,57.88346965084993,,,,
71,977449,10013993,252063,626453,622755,41.37133131002962,57.88346965084993,,,,
72,974869,9990449,249554,626443,622996,38.16128704227707,57.88346965084993,,,,
73,979005,10038131,247067,632203,628980,45.24835837994013,52.107101826261626,,,,
74,976231,10012453,244611,632203,628859,39.34845232925889,52.107101826261626,,,,
75,973646,9988745,242167,632198,628851,42.66074538111361,49.76222222795137,,,,
76,977807,10036813,239761,638258,634881,50.078864221636536,63.685816405747005,,,,
77,974997,10010714,237365,638132,634755,43.217085973101376,63.685816405747005,,,,
78,972319,9986118,234981,638129,634631,47.44217245514567,56.151910800969404,,,,
79,976504,10034529,232625,644274,640745,55.2175113078579,69.62117223874986,,,,
