,Emissions,Supply,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Clearing Price Double Auction,Emissions Rolling,Supply Rolling,Clearing Price Rolling,Clearing Price Double Auction Rolling
0,1005917,10000000,500000,500000,500000,6.347692571133136,12.81089540620151,,,,
1,1011837,10060400,501200,503600,503400,14.03160958632661,17.681153388421667,,,,
2,1016813,10111462,500430,506922,505920,19.83240014737114,21.825396825396826,,,,
3,1012360,10069318,496446,506305,504993,21.403823721053314,23.554603854389722,,,,
4,1008000,10027426,492096,504772,503488,22.123507967390427,23.554603854389722,,,,
5,1004424,9993716,487480,504564,501682,22.603013489204024,23.554603854389722,,,,
6,1008292,10036422,483221,509610,504151,28.423687107136004,44.9543600030988,,,,
7,1005448,10010280,478392,509714,503201,27.30665421924089,44.9543600030988,,,,
8,1002156,9979704,473613,509609,501639,31.507899002084805,44.9543600030988,,,,
9,1006051,10022939,468884,514705,504184,38.08704398575435,56.296005670199065,,,,
10,1003261,9997388,464205,514810,503276,34.53503184776325,56.296005670199065,,,,
11,1007172,10040674,459576,519957,505887,41.15061620435998,59.772183856864515,,,,
12,1004351,10014982,454978,520064,505011,36.81534310565094,59.772183856864515,,,,
13,1001064,9984544,450430,519956,503505,33.56233671312446,59.772183856864515,,,,
14,1004978,10028259,445922,525153,506191,40.352242552911456,50.566554006831645,,,,
15,1002206,10003030,441464,525261,505345,36.19028441766333,50.566554006831645,,,,
16,998893,9972333,437042,525152,503862,33.089372164361215,50.566554006831645,,,,
17,1002808,10016311,432669,530399,506612,39.867419696440585,58.24069572898741,,,,
18,1000044,9991164,428344,530508,505807,35.816618693899066,58.24069572898741,,,,
19,1003978,10035173,424069,535806,508623,42.71654736916149,61.63844304471569,,,,
20,1001181,10009796,419824,535918,507852,37.92671870297175,61.63844304471569,,,,
21,997929,9979756,415627,535805,506422,37.440558913887756,61.63844304471569,,,,
22,1001851,10023995,411469,541154,509315,44.342306518525575,63.619638883658155,,,,
23,999084,9998803,407361,541267,508574,39.13908283007065,63.619638883658155,,,,
24,1002981,10043141,403289,546667,511522,46.30685772652163,65.81743915619288,,,,
