,Emissions,Supply,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Clearing Price Double Auction,Emissions Rolling,Supply Rolling,Clearing Price Rolling,Clearing Price Double Auction Rolling
0,999772,10000000,500000,500000,500000,6.640753807649271,7.304829188414199,,,,
1,998782,9991000,498600,500000,500000,12.304560601928479,13.535016662121327,,,,
2,1006769,10073534,496410,505000,505000,14.657004796504511,16.122705276154964,,,,
3,1006518,10071120,497178,505000,505000,16.892610956686376,18.581872052355013,,,,
4,1006196,10068676,493602,505000,505000,17.96541182111737,19.76195300322911,,,,
5,1003750,10046860,488666,505000,505000,18.778418804056784,20.656260684462463,,,,
6,1001484,10026954,483780,505000,504899,19.244003676502302,20.656260684462463,,,,
7,998667,10001840,478944,505000,504999,21.133234023924793,20.656260684462463,,,,
8,995615,9974422,474158,505000,504999,27.36718587548722,30.103904463035946,,,,
9,999494,10019688,469422,510050,510049,33.49762995893269,36.84739295482596,,,,
10,996467,9992534,464736,510050,510049,30.402360569101575,36.84739295482596,,,,
11,1000342,10037288,460100,514742,515149,36.82321332463957,40.505534657103524,,,,
12,997333,10009990,455507,514540,515149,32.87268637538922,40.505534657103524,,,,
13,994569,9985198,450964,514328,515046,39.452692390565,43.3979616296215,,,,
14,998465,10030256,446466,518654,519991,46.509635501535975,51.16059905168957,,,,
15,995437,10002831,441987,518250,519890,40.32732466536767,51.16059905168957,,,,
16,992582,9977385,437556,518650,519678,38.202079612869035,51.16059905168957,,,,
17,996482,10022738,433170,523834,524254,45.19708152971518,49.7167896826867,,,,
18,993484,9995690,428834,523834,523948,39.16797243760897,49.7167896826867,,,,
19,997392,10040814,424548,529068,528973,46.219846185553685,50.84183080410906,,,,
20,994384,10013496,420305,529068,528869,39.930432516756575,50.84183080410906,,,,
21,991627,9988681,416112,528962,528972,36.70419012830817,50.84183080410906,,,,
22,995527,10034110,411964,534245,534255,43.60589813348845,47.966487946837304,,,,
23,992542,10006984,407835,534245,534255,37.97499973180358,47.966487946837304,,,,
24,989821,9982470,403754,534031,534148,44.684365786692496,49.15280236536175,,,,
25,993752,10028004,399711,538938,539268,52.137916070530046,57.35170767758306,,,,
26,990774,10000884,395718,538728,539163,44.534358105529115,57.35170767758306,,,,
27,987953,9975505,391770,538725,538943,45.93456980293722,57.35170767758306,,,,
28,991901,10021116,387841,543682,543678,53.53392380552927,58.8873161860822,,,,
29,988949,9994387,383960,543475,543360,45.461070873470625,58.8873161860822,,,,
30,992892,10039876,380117,548464,548560,53.04482857178364,58.34931142896201,,,,
31,989933,10012814,376324,548251,548452,45.101931287992656,58.34931142896201,,,,
32,987211,9988232,372576,548352,548229,40.1984316769074,58.34931142896201,,,,
33,991131,10033876,368840,553598,553038,47.380845224079216,52.11892974648714,,,,
34,988207,10007154,365152,553490,552714,40.82602889112943,52.11892974648714,,,,
35,985513,9982686,361509,553485,552587,48.010379392165305,52.81141733138184,,,,
36,989512,10028918,357911,558814,557243,55.7230385102844,61.29534236131284,,,,
37,986574,10001988,354325,558705,556807,47.37398733210977,61.29534236131284,,,,
38,983827,9977103,350787,558587,556807,53.05135282964202,58.35648811260623,,,,
39,987858,10023612,347289,563735,561953,61.16915852571475,67.28607437828623,,,,
40,984930,9996861,343803,563515,561631,51.324581312586716,67.28607437828623,,,,
41,988912,10043111,340365,569155,567030,59.330838105924,65.26392191651641,,,,
42,986002,10016461,336967,569155,566921,49.837176198490624,65.26392191651641,,,,
43,983316,9991866,333581,569040,566808,44.43368572029654,65.26392191651641,,,,
44,987296,10038443,330243,574735,572040,51.93033355622697,57.12336691184967,,,,
45,984406,10011891,326945,574850,571823,44.27875016717023,57.12336691184967,,,,
46,981762,9987792,323659,574850,571922,40.08891176330871,57.12336691184967,,,,
47,985768,10034346,320421,580598,577414,47.262246739529395,51.98847141348234,,,,
48,982880,10007816,317223,580598,577300,40.81187892299691,51.98847141348234,,,,
49,980192,9983445,314037,580364,577299,47.61885349188135,52.380738841069494,,,,
50,984260,10030169,310899,585697,582843,55.3597458944721,60.89572048391931,,,,
51,981362,10003557,307801,585467,582732,46.95489110615072,60.89572048391931,,,,
52,978643,9978759,304715,585577,582729,48.39143600249039,60.89572048391931,,,,
53,982664,10025522,301677,591187,588322,56.191873559395596,61.81106091533516,,,,
54,979813,9999248,298672,591071,588212,47.50863731240384,61.81106091533516,,,,
55,983879,10046296,295686,596993,594106,55.23869248575235,60.76256173432759,,,,
56,981013,10019820,292736,596993,594106,46.791453226748125,60.76256173432759,,,,
57,978368,9995709,289800,596875,593864,41.77051299698417,60.76256173432759,,,,
58,982441,10042878,286907,602849,599326,49.09144882579849,54.00059370837834,,,,
59,979582,10016573,284021,602967,599090,42.177961619348864,54.00059370837834,,,,
60,976939,9992295,281183,602847,599080,39.021666447201774,54.00059370837834,,,,
61,980968,10039198,278378,608397,604583,46.14800587110656,50.76280645821722,,,,
62,978155,10012977,275592,608393,604343,39.97703902822687,50.76280645821722,,,,
63,975523,9988983,272842,608507,604456,36.75546020898871,50.76280645821722,,,,
64,979603,10035987,270106,614347,610253,43.72277122218067,48.09504834439874,,,,
65,976802,10009838,267406,614465,610132,38.168733843529786,48.09504834439874,,,,
66,974193,9986032,264720,614093,610128,43.57433548152661,47.93176902967927,,,,
67,978284,10033369,262070,619486,615977,51.04103954171505,56.14514349588656,,,,
68,975462,10007008,259434,619120,615855,43.886042814181025,56.14514349588656,,,,
69,972798,9982680,256841,619363,615613,40.74947097687292,56.14514349588656,,,,
70,976906,10030429,254255,625328,621299,48.09190013161543,52.90109014477698,,,,
71,974116,10004490,251717,625211,621063,41.45688496493231,52.90109014477698,,,,
