,Emissions_MCA,Top Fifty Polluters Supply_MCA,Average Polluters Supply_MCA,Top Fifty Efficient Supply_MCA
0,1005917,500000,500000,500000
50,989223,310527,523444,598244
100,967202,187890,607479,708619
150,954513,113700,559973,839124
200,936320,68810,338960,974388
250,924821,41603,205047,1131076
300,913102,25241,124060,1300366
350,899560,15333,75056,1479512
400,891179,9358,45446,1683776
450,886739,5879,27515,1916181
500,879396,3379,16699,2160092
550,872944,0,10185,2432907
600,864049,0,6057,2713619
650,857919,0,3331,3012317
700,853919,0,889,3360657
750,851465,0,0,3731022
800,844030,0,0,4056143
850,838899,0,0,4401198
900,835529,0,0,4826113
950,834916,0,0,5317049
1000,827667,0,0,5722443
1050,829063,0,0,6185376
1100,825188,0,0,6583613
1150,823189,0,0,6974544
1200,815346,0,0,7280178
1250,814518,0,0,7589537
1300,814827,0,0,7879550
1350,808004,0,0,8013978
1400,809104,0,0,8192903
1450,810235,0,0,8275516
1500,804162,0,0,8289815
1550,806640,0,0,8377955
1600,807410,0,0,8597184
1650,806999,0,0,8927739
1700,799698,0,0,9140203
1750,799230,0,0,9404277
1800,798088,0,0,9632195
1850,792002,0,0,9758530
1900,790120,0,0,9872496
1950,786755,0,0,9934643
2000,784248,0,0,9982706
2050,778439,0,0,9955368
2100,783076,0,0,10037454
2150,776670,0,0,9978109
2200,775971,0,0,9998301
2250,776562,0,0,10027761
2300,778104,0,0,10066773
2350,775850,0,0,10050381
2400,773409,0,0,10043115
