,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
0,998885,10000000,59903,39824,49789,500000,500000,500000,3.8262102100305193,,
1,1005970,10071300,60286,40169,50225,503200,504300,504400,9.107566499341237,,
2,1012249,10135729,60325,40567,50647,503622,509343,508636,15.981661361677414,,
3,1018492,10200737,60030,40892,51063,501234,513418,512810,20.531799022889032,,
4,1011588,10132439,59431,40727,50695,496222,511360,509117,21.086026102740714,,
5,1008234,10100817,58832,40618,50614,491260,510009,508294,21.331408011037112,,
6,1006378,10084451,58247,40618,50633,486348,510009,508490,21.415471431163407,,
7,1004513,10067995,57663,40618,50633,481486,510009,508490,21.4349834337913,,
8,1002666,10051765,57088,40618,50633,476674,510009,508490,21.3711755918724,,
9,1000832,10035665,56520,40618,50633,471912,510009,508490,21.273569130581098,,
10,999033,10019868,55953,40618,50633,467200,510009,508490,21.163510181269157,,
11,997238,10004151,55398,40618,50633,462538,510009,508490,21.080379114825107,,
12,995421,9988270,54841,40618,50633,457917,510009,508490,24.613304640006763,,
13,1001811,10056917,54296,41027,51138,453346,515109,513575,29.342324789141728,,
14,1000834,10049703,53751,41106,51180,448812,516143,513989,27.203729598314855,,
15,998151,10024709,53216,41026,51138,444328,515099,513571,25.580478672192264,,
16,996373,10009105,52684,41026,51138,439878,515099,513571,24.36025396212739,,
17,994618,9993732,52156,41026,51138,435478,515099,513571,29.060118826389736,,
18,1001018,10062469,51635,41436,51653,431116,520249,518706,33.877562851287585,,
19,1000005,10054848,51115,41513,51683,426804,521188,519019,30.581652801449113,,
20,997369,10030367,50604,41436,51653,422533,520240,518703,28.105092060103228,,
21,995605,10014906,50099,41436,51653,418312,520240,518703,26.233580949839325,,
22,993832,9999224,49601,41436,51653,414128,520240,518703,24.820996376144457,,
23,1000199,10068051,49104,41847,52170,409994,525440,523888,29.530135785467316,,
24,999221,10060828,48609,41924,52212,405894,526388,524310,27.25708661661805,,
25,996542,10035891,48122,41847,52170,401835,525431,523884,25.60317130990229,,
26,994789,10020394,47648,41847,52170,397814,525431,523884,24.325732301566312,,
27,992983,10004618,47167,41847,52170,393830,525431,523884,23.376092704435603,,
28,991230,9989063,46695,41847,52170,389896,525431,523884,26.359896647426023,,
29,997639,10058103,46225,42270,52690,385996,530681,529119,31.090644064306257,,
30,996694,10051099,45766,42345,52733,382137,531638,529545,28.437701358088848,,
31,994012,10026076,45308,42268,52689,378316,530672,529115,26.469735093299732,,
32,992242,10010425,44857,42268,52689,374532,530672,529115,24.99295467750656,,
33,990474,9994800,44410,42268,52689,370789,530672,529115,23.89289782631174,,
34,996866,10063935,43965,42684,53216,367080,535972,534400,28.585082570942916,,
35,995941,10057098,43525,42764,53258,363421,536938,534830,26.578557844722614,,
36,993258,10032000,43090,42684,53215,359787,535963,534396,25.089837111457154,,
37,991507,10016496,42658,42684,53215,356194,535963,534396,23.964792575067012,,
38,989754,10001080,42231,42684,53215,352635,535963,534396,23.132295964212794,,
39,988032,9985782,41812,42684,53215,349113,535963,534396,23.125358629258553,,
40,994492,10055225,41393,43117,53749,345620,541313,539731,27.835653181655015,,
41,993629,10049103,40976,43203,53792,342161,542397,540165,26.021318199494274,,
42,990915,10023495,40568,43117,53749,338739,541303,539727,24.67754731862246,,
43,989164,10007984,40164,43117,53749,335346,541303,539727,23.671252535436906,,
44,987469,9992935,39762,43117,53749,331987,541303,539727,27.606738226237916,,
45,993917,10062527,39361,43543,54282,328665,546703,545112,32.44348147354084,,
46,992989,10055506,38967,43622,54313,325372,547687,545440,29.494375811037983,,
47,990342,10030724,38576,43542,54281,322113,546694,545109,27.292014734990815,,
48,988593,10015156,38192,43542,54281,318891,546694,545109,25.634655223022254,,
49,986876,9999878,37812,43542,54281,315698,546694,545109,24.39988090805759,,
50,993316,10069413,37434,43975,54821,312539,552144,550544,29.223576136885274,,
51,992425,10062990,37057,44062,54865,309417,553249,550986,27.0841967012041,,
52,989750,10037666,36687,43972,54821,306324,552128,550537,25.48612515068793,,
53,988018,10022289,36318,43972,54821,303265,552128,550537,24.29024603692899,,
54,986316,10007174,35959,43972,54821,300234,552128,550537,23.391032306678326,,
55,984650,9992309,35598,43972,54821,297241,552128,550537,22.940175300627086,,
56,991129,10062094,35244,44413,55366,294260,557633,556024,27.623077087157178,,
57,990315,10056304,34887,44503,55411,291329,558754,556473,25.89011388254015,,
58,987617,10030812,34538,44412,55366,288407,557623,556020,24.60074954050071,,
59,985899,10015524,34197,44412,55366,285526,557623,556020,23.632339534190614,,
