,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1002944,500000,500000,500000
100,968913,188385,683185,687056
200,941219,69002,454807,918842
300,917116,25315,166440,1199057
400,899516,9386,60947,1544804
500,884095,3393,22337,1935492
600,871988,0,8272,2388589
700,858997,0,1840,2891343
800,847480,0,0,3464641
900,838557,0,0,4126521
1000,829373,0,0,4861508
1100,828416,0,0,5709246
1200,819869,0,0,6482019
1300,809674,0,0,7385336
1400,803702,0,0,8304477
1500,802792,0,0,9060182
1600,800033,0,0,9650932
1700,795542,0,0,9865120
1800,789208,0,0,9949428
1900,785524,0,0,9996353
2000,786057,0,0,10055595
2100,777481,0,0,9985082
2200,776943,0,0,10018935
2300,778932,0,0,10063173
2400,774967,0,0,10048209
