,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,995724,500000,500000,500000
100,990912,221796,546517,546850
200,979983,84248,563141,563255
300,975052,31224,568763,568876
400,979804,11628,574537,574538
500,978399,4514,574378,574506
600,977740,1031,574450,574241
700,977605,655,574191,574330
800,977381,468,574387,574177
900,977328,244,574362,574152
1000,977176,185,574331,574011
1100,977087,130,574295,573986
1200,976973,130,574152,574187
1300,976852,130,574129,574036
1400,976768,130,574105,574004
1500,976616,130,574185,573978
1600,976578,130,574150,574062
1700,976484,130,574126,573915
1800,976453,120,573978,573770
1900,976358,120,574066,573964
2000,976387,112,573930,573828
2100,976327,112,574014,574031
2200,976244,112,573871,574009
2300,976218,112,573734,573979
2400,976237,112,573804,573961
