,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1001727,500000,500000,500000
100,994266,348802,536162,549421
200,983650,193458,577722,593380
300,971459,95718,617617,635333
400,963054,46190,655537,674258
500,957301,18399,692447,712064
600,951207,5794,721522,750193
700,946766,1871,752616,785565
800,941014,669,776448,817612
900,939975,185,799293,849255
1000,935399,0,813284,876974
1100,933514,0,820635,907125
1200,931118,0,828005,933958
1300,929348,0,796780,960988
1400,924897,0,690005,984177
1500,922487,0,554013,1005493
1600,922019,0,426535,1028207
1700,923127,0,313751,1050023
1800,920076,0,218883,1066793
1900,918428,0,148845,1083964
2000,918131,0,107557,1101485
2100,914117,0,81510,1113656
2200,915502,0,36855,1133847
2300,913453,0,18974,1147210
2400,912262,0,12019,1159500
