,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1000648,500000,500000,500000
100,993693,308363,543330,551594
200,981038,155901,584873,597290
300,969668,68351,621246,640387
400,967017,31985,661454,686581
500,953350,11780,688857,721589
600,954349,3410,724904,765937
700,942858,1111,747893,797001
800,944588,270,778452,837653
900,941274,142,799864,871662
1000,932555,0,812660,898081
1100,935642,0,824153,934538
1200,932660,0,811257,962853
1300,931684,0,766080,992067
1400,923871,0,661986,1012043
1500,927823,0,538105,1042757
1600,923758,0,413172,1063733
1700,921931,0,298643,1085109
1800,921691,0,204110,1106662
1900,913710,0,135621,1117521
2000,915766,0,93545,1139977
2100,919533,0,74352,1162886
2200,915243,0,52857,1174517
2300,911846,0,27406,1186244
2400,909363,0,16821,1198120
