,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,999963,500000,500000,500000
100,987297,220012,541610,546900
200,978803,85580,585920,592417
300,967804,34374,623167,631786
400,960500,12799,662515,672723
500,954639,5260,700531,711891
600,951939,0,739923,748615
700,946864,0,776115,784714
800,940840,0,812491,818656
900,937989,0,846423,852780
1000,935382,0,881750,886982
1100,930755,0,914106,917407
1200,927997,0,846131,946667
1300,929221,0,655058,975065
1400,926699,0,421900,1001441
1500,920947,0,189592,1024810
1600,921656,0,69853,1052261
1700,920665,0,26501,1076354
1800,915693,0,11218,1097258
1900,917631,0,6351,1122986
2000,915769,0,5324,1142896
2100,910911,0,5225,1156056
2200,911072,0,5185,1175747
2300,911599,0,4832,1195033
2400,909498,0,4707,1207422
