,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,999772,500000,500000,500000
100,965284,188125,680183,686356
200,936853,68904,454965,923683
300,912582,25280,166500,1203314
400,894383,9372,60965,1539404
500,885111,3386,22351,1951489
600,872259,0,8267,2430110
700,857440,0,1820,2943128
800,851364,0,0,3546903
900,845057,0,0,4259088
1000,831931,0,0,4991650
1100,827307,0,0,5823740
1200,822044,0,0,6711368
1300,812280,0,0,7593471
1400,808944,0,0,8538905
1500,806792,0,0,9228925
1600,798489,0,0,9589522
1700,797796,0,0,9879285
1800,795474,0,0,10001188
1900,787819,0,0,9978457
2000,788242,0,0,10031541
2100,785606,0,0,10033589
2200,786352,0,0,10064911
2300,784323,0,0,10065972
2400,780497,0,0,10008080
