,Emissions_VCG,Top Fifty Polluters Supply_VCG,Average Polluters Supply_VCG,Top Fifty Efficient Supply_VCG
0,999772,500000,500000,500000
50,984260,310899,582843,585697
100,965284,188125,680183,686356
150,947557,113835,712184,795964
200,936853,68904,454965,923683
250,925496,41643,275179,1057076
300,912582,25280,166500,1203314
350,904766,15358,100726,1368454
400,894383,9372,60965,1539404
450,888366,5886,36908,1738612
500,885111,3386,22351,1951489
550,876233,0,13591,2184674
600,872259,0,8267,2430110
650,863633,0,5242,2667674
700,857440,0,1820,2943128
750,853012,0,0,3232665
800,851364,0,0,3546903
850,843532,0,0,3868805
900,845057,0,0,4259088
950,841830,0,0,4639465
1000,831931,0,0,4991650
1050,831561,0,0,5403557
1100,827307,0,0,5823740
1150,823917,0,0,6255544
1200,822044,0,0,6711368
1250,819318,0,0,7186821
1300,812280,0,0,7593471
1350,813396,0,0,8119791
1400,808944,0,0,8538905
1450,807479,0,0,8911978
1500,806792,0,0,9228925
1550,805532,0,0,9439915
1600,798489,0,0,9589522
1650,799396,0,0,9766831
1700,797796,0,0,9879285
1750,793864,0,0,9918799
1800,795474,0,0,10001188
1850,792004,0,0,9997212
1900,787819,0,0,9978457
1950,790495,0,0,10035854
2000,788242,0,0,10031541
2050,787301,0,0,10042027
2100,785606,0,0,10033589
2150,787750,0,0,10071022
2200,786352,0,0,10064911
2250,782286,0,0,10024806
2300,784323,0,0,10065972
2350,783722,0,0,10045614
2400,780497,0,0,10008080
